subject,predicate,object
reactome:Complex36,abstraction:neighborOf,reactome:SmallMolecule1
reactome:Complex64,abstraction:neighborOf,reactome:Protein57
reactome:Protein48,abstraction:neighborOf,reactome:Protein50
reactome:Protein48,abstraction:neighborOf,reactome:Protein54
reactome:Protein48,abstraction:neighborOf,reactome:Protein47
reactome:Protein76,abstraction:neighborOf,reactome:Complex65
reactome:Protein76,abstraction:neighborOf,reactome:Protein34
reactome:Protein35,abstraction:neighborOf,reactome:Complex38
reactome:Protein35,abstraction:neighborOf,reactome:Protein77
reactome:Protein35,abstraction:neighborOf,reactome:Protein79
reactome:Protein35,abstraction:neighborOf,reactome:Protein38
reactome:Protein50,abstraction:neighborOf,reactome:Protein48
reactome:Complex57,abstraction:neighborOf,reactome:Complex34
reactome:Complex6,abstraction:neighborOf,reactome:Protein11
reactome:Complex44,abstraction:neighborOf,reactome:Protein39
reactome:Protein56,abstraction:neighborOf,reactome:Complex59
reactome:Protein84,abstraction:neighborOf,reactome:Protein83
reactome:Protein84,abstraction:neighborOf,reactome:Protein80
reactome:Complex31,abstraction:neighborOf,reactome:Complex26
reactome:Protein15,abstraction:neighborOf,reactome:PhysicalEntity1
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Protein79
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Protein32
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Protein39
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Protein31
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Complex49
reactome:SmallMolecule4,abstraction:neighborOf,reactome:Complex47
reactome:Complex37,abstraction:neighborOf,reactome:SmallMolecule2
reactome:Protein49,abstraction:neighborOf,reactome:Complex63
reactome:Protein49,abstraction:neighborOf,reactome:Protein33
reactome:Complex65,abstraction:neighborOf,reactome:Protein76
reactome:Protein77,abstraction:neighborOf,reactome:Protein35
reactome:Complex24,abstraction:neighborOf,reactome:Complex8
reactome:Complex52,abstraction:neighborOf,reactome:Protein51
reactome:Protein51,abstraction:neighborOf,reactome:Complex52
reactome:Complex58,abstraction:neighborOf,reactome:Protein57
reactome:Protein29,abstraction:neighborOf,reactome:Complex32
reactome:Protein57,abstraction:neighborOf,reactome:Protein73
reactome:Protein57,abstraction:neighborOf,reactome:Complex61
reactome:Protein57,abstraction:neighborOf,reactome:Complex62
reactome:Protein57,abstraction:neighborOf,reactome:Complex58
reactome:Protein57,abstraction:neighborOf,reactome:Complex64
reactome:Complex32,abstraction:neighborOf,reactome:Protein29
reactome:Complex32,abstraction:neighborOf,reactome:SmallMolecule1
reactome:Complex60,abstraction:neighborOf,reactome:SmallMolecule3
reactome:Protein31,abstraction:neighborOf,reactome:Protein39
reactome:Protein31,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Protein31,abstraction:neighborOf,reactome:Complex49
reactome:Protein31,abstraction:neighborOf,reactome:Complex43
reactome:Protein31,abstraction:neighborOf,reactome:Complex47
reactome:Protein31,abstraction:neighborOf,reactome:Complex34
reactome:Protein31,abstraction:neighborOf,reactome:Protein32
reactome:Complex38,abstraction:neighborOf,reactome:Protein35
reactome:Protein78,abstraction:neighborOf,reactome:Protein32
reactome:Protein24,abstraction:neighborOf,reactome:Protein80
reactome:Protein24,abstraction:neighborOf,reactome:Complex5
reactome:Protein80,abstraction:neighborOf,reactome:Protein83
reactome:Protein80,abstraction:neighborOf,reactome:Protein84
reactome:Protein80,abstraction:neighborOf,reactome:Protein24
reactome:Protein11,abstraction:neighborOf,reactome:Complex6
reactome:Complex59,abstraction:neighborOf,reactome:Protein56
reactome:Complex59,abstraction:neighborOf,reactome:Protein73
reactome:Complex8,abstraction:neighborOf,reactome:Complex24
reactome:Complex61,abstraction:neighborOf,reactome:Protein73
reactome:Complex61,abstraction:neighborOf,reactome:Protein57
reactome:Protein73,abstraction:neighborOf,reactome:Protein57
reactome:Protein73,abstraction:neighborOf,reactome:Complex61
reactome:Protein73,abstraction:neighborOf,reactome:Complex59
reactome:Protein32,abstraction:neighborOf,reactome:Protein79
reactome:Protein32,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Protein32,abstraction:neighborOf,reactome:Protein78
reactome:Protein32,abstraction:neighborOf,reactome:Complex34
reactome:Protein32,abstraction:neighborOf,reactome:Protein31
reactome:Protein79,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Protein79,abstraction:neighborOf,reactome:Protein32
reactome:Protein79,abstraction:neighborOf,reactome:Protein35
reactome:Complex26,abstraction:neighborOf,reactome:Complex31
reactome:Protein38,abstraction:neighborOf,reactome:Protein35
reactome:Complex54,abstraction:neighborOf,reactome:Protein53
reactome:Protein53,abstraction:neighborOf,reactome:Complex54
reactome:Protein40,abstraction:neighborOf,reactome:Complex34
reactome:SmallMolecule1,abstraction:neighborOf,reactome:Complex32
reactome:SmallMolecule1,abstraction:neighborOf,reactome:Complex36
reactome:Complex47,abstraction:neighborOf,reactome:Protein39
reactome:Complex47,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Complex47,abstraction:neighborOf,reactome:Complex49
reactome:Complex47,abstraction:neighborOf,reactome:Protein31
reactome:Complex47,abstraction:neighborOf,reactome:Complex43
reactome:Complex34,abstraction:neighborOf,reactome:SmallMolecule2
reactome:Complex34,abstraction:neighborOf,reactome:Protein41
reactome:Complex34,abstraction:neighborOf,reactome:Protein39
reactome:Complex34,abstraction:neighborOf,reactome:Protein32
reactome:Complex34,abstraction:neighborOf,reactome:Protein31
reactome:Complex34,abstraction:neighborOf,reactome:Complex57
reactome:Complex34,abstraction:neighborOf,reactome:Protein40
reactome:Complex62,abstraction:neighborOf,reactome:Protein57
reactome:Protein33,abstraction:neighborOf,reactome:Protein49
reactome:Complex68,abstraction:neighborOf,reactome:SmallMolecule3
reactome:Protein39,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Protein39,abstraction:neighborOf,reactome:Protein31
reactome:Protein39,abstraction:neighborOf,reactome:Complex49
reactome:Protein39,abstraction:neighborOf,reactome:Complex47
reactome:Protein39,abstraction:neighborOf,reactome:Protein41
reactome:Protein39,abstraction:neighborOf,reactome:Complex34
reactome:Protein39,abstraction:neighborOf,reactome:Complex44
reactome:Complex4,abstraction:neighborOf,reactome:Protein14
reactome:Protein54,abstraction:neighborOf,reactome:Protein48
reactome:Complex70,abstraction:neighborOf,reactome:Complex69
reactome:Protein41,abstraction:neighborOf,reactome:Complex34
reactome:Protein41,abstraction:neighborOf,reactome:Protein39
reactome:SmallMolecule2,abstraction:neighborOf,reactome:Complex34
reactome:SmallMolecule2,abstraction:neighborOf,reactome:Complex37
reactome:Complex48,abstraction:neighborOf,reactome:SmallMolecule3
reactome:Protein47,abstraction:neighborOf,reactome:Protein48
reactome:Complex63,abstraction:neighborOf,reactome:Protein49
reactome:Complex22,abstraction:neighborOf,reactome:Complex15
reactome:Protein34,abstraction:neighborOf,reactome:Protein76
reactome:PhysicalEntity1,abstraction:neighborOf,reactome:Protein15
reactome:Complex69,abstraction:neighborOf,reactome:Complex70
reactome:Complex5,abstraction:neighborOf,reactome:Protein24
reactome:Complex15,abstraction:neighborOf,reactome:Complex22
reactome:Complex43,abstraction:neighborOf,reactome:Protein31
reactome:Complex43,abstraction:neighborOf,reactome:Complex47
reactome:Protein83,abstraction:neighborOf,reactome:Protein84
reactome:Protein83,abstraction:neighborOf,reactome:Protein80
reactome:Protein14,abstraction:neighborOf,reactome:Complex4
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex68
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex48
reactome:SmallMolecule3,abstraction:neighborOf,reactome:Complex60
reactome:Complex49,abstraction:neighborOf,reactome:Protein39
reactome:Complex49,abstraction:neighborOf,reactome:SmallMolecule4
reactome:Complex49,abstraction:neighborOf,reactome:Protein31
reactome:Complex49,abstraction:neighborOf,reactome:Complex47
